HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
30331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
30471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
30483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
30614,"CRABS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,95109,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
30616,"COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON), FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
30617,"SHRIMPS AND PRAWNS, FROZEN, OTHER THAN COLD-WATER",Greenland,General First Unit of Quantity,GenImp,General,6,18630,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
30722,"SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE, FROZEN",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
70519,"LETTUCE (LACTUCA SATIVA), EXCEPT HEAD LETTUCE, FRESH OR CHILLED",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
160521,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS",Greenland,General First Unit of Quantity,GenImp,General,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:23:25.414184
220850,GIN AND GENEVA,Greenland,General First Unit of Quantity,GenImp,General,6,0,proof liters,January,2020,2020-01-31,2026-06-26 10:23:25.414184
252910,FELDSPAR,Greenland,General First Unit of Quantity,GenImp,General,6,0,metric tons,January,2020,2020-01-31,2026-06-26 10:23:25.414184
