HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
30331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",Greenland,First Unit of Quantity,Import,Consumption,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
30471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",Greenland,First Unit of Quantity,Import,Consumption,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
30483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",Greenland,First Unit of Quantity,Import,Consumption,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
30614,"CRABS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",Greenland,First Unit of Quantity,Import,Consumption,6,95109,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
30616,"COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON), FROZEN",Greenland,First Unit of Quantity,Import,Consumption,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
30617,"SHRIMPS AND PRAWNS, FROZEN, OTHER THAN COLD-WATER",Greenland,First Unit of Quantity,Import,Consumption,6,18630,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
30722,"SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE, FROZEN",Greenland,First Unit of Quantity,Import,Consumption,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
70519,"LETTUCE (LACTUCA SATIVA), EXCEPT HEAD LETTUCE, FRESH OR CHILLED",Greenland,First Unit of Quantity,Import,Consumption,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
160521,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS",Greenland,First Unit of Quantity,Import,Consumption,6,0,kilograms,January,2020,2020-01-31,2026-06-26 10:30:07.895063
220850,GIN AND GENEVA,Greenland,First Unit of Quantity,Import,Consumption,6,0,proof liters,January,2020,2020-01-31,2026-06-26 10:30:07.895063
252910,FELDSPAR,Greenland,First Unit of Quantity,Import,Consumption,6,0,metric tons,January,2020,2020-01-31,2026-06-26 10:30:07.895063
430180,"FURSKINS NESOI, RAW, WHOLE, WITH OR WITHOUT HEAD, TAIL OR PAWS",Greenland,First Unit of Quantity,Import,Consumption,6,0,number,January,2020,2020-01-31,2026-06-26 10:30:07.895063
