HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
4011,"NEW PNEUMATIC TIRES, OF RUBBER",2019,Greenland,0,0,"5,215",0,0,0,0,0,0,0,0,"7,261",FAS Value
6306,"TARPAULINS, SAILS FOR BOATS, SAILBOARDS OR LANDCRAFT, AWNINGS, SUNBLINDS, TENTS AND CAMPING GOODS, OF TEXTILE MATERIALS",2019,Greenland,0,0,0,0,0,0,0,0,0,0,"6,491",0,FAS Value
6307,MADE-UP ARTICLES OF TEXTILE MATERIALS NESOI,2019,Greenland,0,0,0,0,0,0,0,0,0,0,"2,850",0,FAS Value
7007,"SAFETY GLASS, CONSISTING OF TOUGHENED (TEMPERED) OR LAMINATED GLASS",2019,Greenland,"7,071",0,0,0,0,0,0,0,0,0,0,0,FAS Value
7326,"ARTICLES OF IRON OR STEEL, NESOI",2019,Greenland,0,0,0,0,0,0,0,0,0,0,"2,638",0,FAS Value
8407,SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES,2019,Greenland,0,0,0,0,0,0,0,"8,406",0,0,0,0,FAS Value
8413,"PUMPS FOR LIQUIDS, WITH OR WITHOUT A MEASURING DEVICE; LIQUID ELEVATORS; PARTS THEREOF",2019,Greenland,0,0,"35,000",0,0,0,0,0,0,0,0,0,FAS Value
8424,MECHANICAL APPLIANCES FOR DISPERSING LIQUID OR POWDER; FIRE EXTINGUISHERS; SPRAY GUNS ETC.; STEAM OR SAND BLASTING AND SIMILAR MACHINES; PARTS THEREOF,2019,Greenland,0,0,"12,000",0,0,0,0,0,0,0,0,0,FAS Value
8425,PULLEY TACKLE AND HOISTS OTHER THAN SKIP HOISTS; WINCHES AND CAPSTANS; JACKS,2019,Greenland,0,0,"28,100",0,0,0,0,0,0,0,0,0,FAS Value
8431,"PARTS OF MACHINERY OF HEADINGS 8425 TO 8430 COVERING DERRICKS, FORK-LIFT TRUCKS, CONVEYERS, SELF-PROPELLED BULLDOZERS, GRADERS, SNOWPLOWS, ETC.",2019,Greenland,0,"3,815",0,0,0,0,0,0,0,0,0,0,FAS Value
8471,"AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING AND PROCESSING CODED DATA, NESOI",2019,Greenland,"13,201",0,"85,523",0,0,0,0,0,0,"4,521",0,0,FAS Value
8473,PARTS AND ACCESSORIES NESOI FOR TYPEWRITERS AND OTHER OFFICE MACHINES OF HEADINGS 8469 TO 8472,2019,Greenland,"2,940",0,"3,188",0,0,0,0,0,0,0,0,0,FAS Value
8517,"ELECTRICAL APPARATUS FOR LINE TELEPHONY OR LINE TELEGRAPHY, INCLUDING SUCH APPARATUS FOR CARRIER-CURRENT OR DIGITAL LINE SYSTEMS; PARTS THEREOF",2019,Greenland,0,0,0,"60,000","29,137",0,0,0,0,"3,016",0,0,FAS Value
8525,"TRANSMISSION APPARATUS FOR RADIOTELEPHONY, RADIOTELEGRAPHY, RADIOBROADCASTING OR TV; TV CAMERAS; STILL IMAGE VIDEO CAMERAS AND RECRDRS;DIGITAL CAMERAS",2019,Greenland,0,0,0,0,0,"2,737","4,879",0,0,"7,990",0,0,FAS Value
8528,"TELEVISION RECEIVERS, INCLUDING VIDEO MONITORS AND VIDEO PROJECTORS",2019,Greenland,0,0,0,0,0,0,0,0,0,"4,355",0,0,FAS Value
8544,"INSULATED WIRE, CABLE AND OTHER INSULATED ELECTRICAL CONDUCTORS; OPTICAL FIBER CABLES, OF INDIVIDUALLY SHEATHED FIBERS, WITH CONDUCTORS ETC. OR NOT",2019,Greenland,0,0,0,0,0,0,0,0,0,"4,997",0,0,FAS Value
8708,"PARTS AND ACCESSORIES FOR TRACTORS, PUBLIC-TRANSPORT PASSENGER VEHICLES, MOTOR CARS, GOODS TRANSPORT MOTOR VEHICLES AND SPECIAL PURPOSE MOTOR VEHICLES",2019,Greenland,0,"6,254",0,0,0,0,0,0,0,0,0,0,FAS Value
8716,"TRAILERS AND SEMI-TRAILERS; OTHER VEHICLES, NOT MECHANICALLY PROPELLED; AND PARTS THEREOF",2019,Greenland,0,0,0,0,0,0,0,0,0,0,0,"5,286",FAS Value
8800,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2019,Greenland,"7,000",0,0,0,0,0,0,0,"3,375",0,0,0,FAS Value
8907,"FLOATING STRUCTURES NESOI (INCLUDING RAFTS, TANKS, COFFERDAMS, LANDING STAGES, BUOYS AND BEACONS)",2019,Greenland,0,0,0,0,0,0,"40,000",0,0,0,0,0,FAS Value
9002,"OPTICAL ELEMENTS (INCLUDING LENSES, PRISMS AND MIRRORS), MOUNTED, EXCLUDING ELEMENTS OF GLASS NOT OPTICALLY WORKED; PARTS AND ACCESSORIES THEREOF",2019,Greenland,0,0,0,0,"4,820",0,0,0,0,0,0,0,FAS Value
