HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",2020,Greenland,0,"3,840",0,0,750,0,243,0,750,0,0,0,"Charges, Insurance, and Freight"
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",2020,Greenland,0,383,0,0,0,0,85,"2,576",0,0,515,750,"Charges, Insurance, and Freight"
0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",2020,Greenland,"22,923","23,897","2,230","8,000","13,564","33,646","41,301","25,311","28,744","16,387","14,833","34,963","Charges, Insurance, and Freight"
0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",2020,Greenland,0,0,0,0,0,0,0,471,0,0,0,0,"Charges, Insurance, and Freight"
0705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",2020,Greenland,0,0,0,0,0,0,0,0,0,0,"1,200",0,"Charges, Insurance, and Freight"
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",2020,Greenland,0,0,0,0,0,0,"19,620","18,911",0,0,402,36,"Charges, Insurance, and Freight"
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",2020,Greenland,0,0,0,0,0,58,0,0,0,0,0,0,"Charges, Insurance, and Freight"
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,2020,Greenland,0,0,0,0,0,0,0,0,0,0,"1,800",0,"Charges, Insurance, and Freight"
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE",2020,Greenland,0,0,0,0,0,0,0,920,0,0,0,0,"Charges, Insurance, and Freight"
7103,"PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS), NOT STRUNG, MOUNTED ETC.; UNGRADED PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS) STRUNG FOR TRANSPORT",2020,Greenland,450,0,0,0,0,0,0,0,0,7,0,450,"Charges, Insurance, and Freight"
8903,YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES,2020,Greenland,0,0,0,224,0,0,0,0,0,0,0,0,"Charges, Insurance, and Freight"
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, AND PARTS THEREOF",2020,Greenland,0,0,0,0,0,42,0,0,0,0,0,0,"Charges, Insurance, and Freight"
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,0,1,0,0,0,0,0,"1,000",0,23,0,0,"Charges, Insurance, and Freight"
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",2020,Greenland,"5,000",55,75,0,0,0,0,0,0,0,55,55,"Charges, Insurance, and Freight"
9999,SALVAGE; ESTIMATE OF LOW VALUED IMPORT TRANSACTIONS,2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,"Charges, Insurance, and Freight"
