HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",2020,Greenland,Not Valid,"128,189",Not Valid,Not Valid,"177,300",Not Valid,"91,443",Not Valid,"177,300",Not Valid,Not Valid,Not Valid,Landed Duty-Paid Value
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",2020,Greenland,Not Valid,"19,547",Not Valid,Not Valid,Not Valid,Not Valid,"3,667","77,576",Not Valid,Not Valid,"35,739","233,405",Landed Duty-Paid Value
0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",2020,Greenland,"2,054,700","2,515,810","774,639","526,130","1,004,867","2,022,975","3,270,546","2,128,806","4,305,899","2,631,217","2,082,427","3,657,213",Landed Duty-Paid Value
0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",2020,Greenland,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"23,586",Not Valid,Not Valid,Not Valid,Not Valid,Landed Duty-Paid Value
0705,"LETTUCE (LACTUCA SATIVA) AND CHICORY (CICHORIUM SPP.), FRESH OR CHILLED",2020,Greenland,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"9,197",Not Valid,Landed Duty-Paid Value
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",2020,Greenland,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"485,373","473,877",Not Valid,Not Valid,"27,907","2,366",Landed Duty-Paid Value
2208,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF UNDER 80% VOL.; SPIRITS, LIQUEURS AND OTHER SPIRITUOUS BEVERAGES",2020,Greenland,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"3,065",Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Landed Duty-Paid Value
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,2020,Greenland,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"7,300",Not Valid,Landed Duty-Paid Value
4301,"RAW FURSKINS NESOI (OTHER THAN RAW HIDES AND SKINS USUALLY USED FOR LEATHER), INCLUDING HEADS, TAILS AND PIECES OR CUTTINGS SUITABLE FOR FURRIERS' USE",2020,Greenland,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"3,061",Not Valid,Not Valid,Not Valid,Not Valid,Landed Duty-Paid Value
7103,"PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS), NOT STRUNG, MOUNTED ETC.; UNGRADED PRECIOUS AND SEMIPRECIOUS STONES (NO DIAMONDS) STRUNG FOR TRANSPORT",2020,Greenland,"15,262",Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"5,007",Not Valid,"7,872",Landed Duty-Paid Value
8903,YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES,2020,Greenland,Not Valid,Not Valid,Not Valid,"2,526",Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Landed Duty-Paid Value
9003,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, AND PARTS THEREOF",2020,Greenland,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"3,267",Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Landed Duty-Paid Value
9705,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,Not Valid,"6,001",Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"4,822",Not Valid,"25,023",Not Valid,Not Valid,Landed Duty-Paid Value
9801,"EXPORTS OF ARTICLES IMPORTED FOR REPAIRS ETC.; IMPORTS OF ARTICLES EXPORTED AND RETURNED, UNADVANCED; IMPORTS OF ANIMALS EXPORTED AND RETURNED",2020,Greenland,"90,000","38,485","16,852",Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,Not Valid,"12,518","2,688",Landed Duty-Paid Value
9999,SALVAGE; ESTIMATE OF LOW VALUED IMPORT TRANSACTIONS,2020,Greenland,"1,025",548,Not Valid,"1,538","2,511",167,979,"3,200","1,263",742,"4,502","4,841",Landed Duty-Paid Value
