HTS Number,Description,Year,Country,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,Variable
401190,"NEW PNEUMATIC TIRES OF RUBBER, NESOI",2019,Greenland,number,0,0,64,0,0,0,0,0,0,0,0,84,First Unit of Quantity
630622,"TENTS, OF SYNTHETIC FIBERS",2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,560,0,First Unit of Quantity
630790,"MADE-UP TEXTILE ARTICLES, NESOI",2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,108,0,First Unit of Quantity
700719,"TOUGHENED (TEMPERED) SAFETY GLASS, NOT SUITABLE FOR INCORPORATION IN VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS",2019,Greenland,square meters,7,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
732690,"ARTICLES OF IRON OR STEEL, NESOI",2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,327,0,First Unit of Quantity
840734,"SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PROPULSION OF VEHICLES EXCEPT RAILWAY OR TRAMWAY STOCK, OVER 1,000 CC CYLINDER CAPACITY",2019,Greenland,number,0,0,0,0,0,0,0,3,0,0,0,0,First Unit of Quantity
841330,"FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES",2019,Greenland,number,0,0,2,0,0,0,0,0,0,0,0,0,First Unit of Quantity
842489,"MECHANICAL APPLIANCES FOR PROJECTING, DISPERSING OR SPRAYING LIQUIDS OR POWDERS, NESOI",2019,Greenland,number,0,0,1,0,0,0,0,0,0,0,0,0,First Unit of Quantity
842542,"JACKS AND HOISTS, HYDRAULIC, EXCEPT BUILT-IN JACKING SYSTEMS USED IN GARAGES",2019,Greenland,number,0,0,4,0,0,0,0,0,0,0,0,0,First Unit of Quantity
843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES, SELF-PROPELLED BULLDOZERS, GRADERS ETC. AND OTHER GRADING, SCRAPING, ETC. MACHINERY",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
847130,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES, WEIGHT NOT MORE THAN 10 KG, CONSISTING OF AT LEAST A CENTRAL PROCESSING UNIT, KEYBOARD & A DISPLAY",2019,Greenland,number,0,0,6,0,0,0,0,0,0,0,0,0,First Unit of Quantity
847150,"DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.41 AND 8471.49, N.E.S.O.I.",2019,Greenland,number,0,0,0,0,0,0,0,0,0,1,0,0,First Unit of Quantity
847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I.",2019,Greenland,number,2,0,3,0,0,0,0,0,0,0,0,0,First Unit of Quantity
847190,"AUTOMATIC DATA PROCESSING UNTS THEREOF; MAGNETIC/OPTICAL READERS, MACH FOR TRANSCRIBING DATA TO DATA MEDIA IN CODED FORM & MACH FOR PROC DATA, NESOI",2019,Greenland,number,0,0,2,0,0,0,0,0,0,0,0,0,First Unit of Quantity
847330,"PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF, MAGNETIC OR OPTICAL READERS, TRANSCRIBING MACHINES, ETC., NESOI",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS,2019,Greenland,number,0,0,0,50,0,0,0,0,0,0,0,0,First Unit of Quantity
851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMISSION OR REGENERATION OF VOICE, IMAGES OR OTHER DATA, INCLUDING SWITCHING AND ROUTING APPARATUS",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
852580,"TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAMERA RECORDERS",2019,Greenland,number,0,0,0,0,0,23,41,0,0,10,0,0,First Unit of Quantity
852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NESOI",2019,Greenland,number,0,0,0,0,0,0,0,0,0,12,0,0,First Unit of Quantity
854430,"INSULATED IGNITION WIRING SETS AND OTHER WIRING SETS FOR VEHICLES, AIRCRAFT AND SHIPS",2019,Greenland,number,0,0,0,0,0,0,0,0,0,2,0,0,First Unit of Quantity
870870,ROAD WHEELS AND PARTS AND ACCESSORIES THEREOF FOR MOTOR VEHICLES,2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
871690,"PARTS OF TRAILERS, SEMI-TRAILERS AND OTHER VEHICLES, NOT MECHANICALLY PROPELLED",2019,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,0,676,First Unit of Quantity
880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
890790,"FLOATING STRUCTURES (FOR EXAMPLE, TANKS, COFFERDAMS, LANDING-STAGES, BUOYS AND BEACONS), EXCEPT INFLATABLE RAFTS",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
900211,"OBJECTIVE LENSES AND PARTS AND ACCESSORIES THEREOF FOR CAMERAS, PROJECTORS OR PHOTOGRAPHIC ENLARGERS OR REDUCERS",2019,Greenland,number,0,0,0,0,1,0,0,0,0,0,0,0,First Unit of Quantity
900510,BINOCULARS,2019,Greenland,number,0,0,74,0,"1,225",29,0,99,0,0,0,0,First Unit of Quantity
901310,"TELESCOPIC SIGHTS FOR FITTING TO ARMS; PERISCOPES; TELESCOPES FOR OPTICAL, PHOTOGRAPHIC, PRECISION, MEDICAL AND ELECTRICAL MACHINES, APPLIANCES, ETC.",2019,Greenland,number,38,12,0,0,495,92,0,104,0,0,17,0,First Unit of Quantity
901380,"OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS, NESOI",2019,Greenland,number,0,0,0,0,0,0,0,30,0,0,0,0,First Unit of Quantity
901390,"PARTS AND ACCESSORIES FOR LIQUID CRYSTAL DEVICES, LASERS (OTHER THAN LASER DIODES) AND OTHER OPTICAL APPLIANCES AND INSTRUMENTS, NESOI",2019,Greenland,number,2,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
901510,RANGEFINDERS,2019,Greenland,number,0,0,0,0,0,0,9,0,0,0,0,0,First Unit of Quantity
901580,"SURVEYING INSTRUMENTS AND APPLIANCES, NESOI, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
901590,"PARTS ETC. FOR RANGEFINDERS AND SURVEYING, HYDROGRAPHIC, OCEAN OGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
902129,DENTAL FITTINGS; AND PARTS AND ACCESSORIES THEREOF,2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
902519,"THERMOMETERS AND PYROMETERS, NOT COMBINED WITH OTHER INSTRUMENTS, NESOI",2019,Greenland,number,0,0,0,0,0,0,130,0,0,0,0,0,First Unit of Quantity
910111,"WRIST WATCHES, BATTERY POWERED, WITH CASES OF PRECIOUS METAL (OR OF METAL CLAD WITH PRECIOUS METAL), WITH MECHANICAL DISPLAY ONLY",2019,Greenland,number,0,0,0,0,0,1,0,0,0,0,0,0,First Unit of Quantity
910221,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITH AUTOMATIC WINDING",2019,Greenland,number,0,0,0,0,0,2,0,0,0,0,0,0,First Unit of Quantity
910229,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITHOUT AUTOMATIC WINDING",2019,Greenland,number,0,0,428,0,0,0,0,0,0,0,0,0,First Unit of Quantity
930330,"SPORTING, HUNTING OR TARGET-SHOOTING RIFLES, EXCEPT MUZZLE-LOADING FIREARMS AND COMBINATION SHOTGUN-RIFLES",2019,Greenland,number,0,0,0,0,0,0,0,0,550,0,0,0,First Unit of Quantity
930520,PARTS AND ACCESSORIES OF SHOTGUNS OR RIFLES OF HEADING 9303,2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
960390,"HAND-OPERATED MECHANICAL (NOT MOTORIZED) FLOOR SWEEPERS, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING, NESOI",2019,Greenland,number,0,0,0,0,512,0,0,0,0,0,0,0,First Unit of Quantity
970600,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,2019,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
