HTS Number,Description,Year,January,February,March,April,May,June,July,August,September,October,November,December,Variable
030331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",2020,0,"128,189",0,0,"177,300",0,"91,443",0,"177,300",0,0,0,General CIF Imports Value
030471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",2020,0,0,0,0,0,0,0,0,0,0,0,"233,405",General CIF Imports Value
030483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",2020,0,"19,547",0,0,0,0,"3,667","77,576",0,0,"35,739",0,General CIF Imports Value
030614,"CRABS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",2020,"1,958,182","2,515,810","774,639","526,130","858,667","1,784,048","3,052,888","1,962,219","4,194,787","2,631,217","2,082,427","3,657,213",General CIF Imports Value
030616,"COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON), FROZEN",2020,0,0,0,0,"146,200","238,927","217,658","166,587","111,112",0,0,0,General CIF Imports Value
030617,"SHRIMPS AND PRAWNS, FROZEN, OTHER THAN COLD-WATER",2020,"96,518",0,0,0,0,0,0,0,0,0,0,0,General CIF Imports Value
030722,"SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE, FROZEN",2020,0,0,0,0,0,0,0,"23,586",0,0,0,0,General CIF Imports Value
070519,"LETTUCE (LACTUCA SATIVA), EXCEPT HEAD LETTUCE, FRESH OR CHILLED",2020,0,0,0,0,0,0,0,0,0,0,"8,766",0,General CIF Imports Value
160521,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS",2020,0,0,0,0,0,0,"485,373","473,877",0,0,"27,907","2,366",General CIF Imports Value
220850,GIN AND GENEVA,2020,0,0,0,0,0,"3,065",0,0,0,0,0,0,General CIF Imports Value
252910,FELDSPAR,2020,0,0,0,0,0,0,0,0,0,0,"7,300",0,General CIF Imports Value
430180,"FURSKINS NESOI, RAW, WHOLE, WITH OR WITHOUT HEAD, TAIL OR PAWS",2020,0,0,0,0,0,0,0,"3,061",0,0,0,0,General CIF Imports Value
710391,"RUBIES, SAPPHIRES AND EMERALDS, OTHERWISE WORKED",2020,0,0,0,0,0,0,0,0,0,"5,300",0,"7,872",General CIF Imports Value
710399,"SEMIPRECIOUS STONES, OTHERWISE WORKED",2020,"15,262",0,0,0,0,0,0,0,0,0,0,0,General CIF Imports Value
890399,"YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES, NESOI",2020,0,0,0,"2,465",0,0,0,0,0,0,0,0,General CIF Imports Value
900311,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, OF PLASTICS",2020,0,0,0,0,0,"3,188",0,0,0,0,0,0,General CIF Imports Value
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,0,"6,001",0,0,0,0,0,"4,822",0,"25,023",0,0,General CIF Imports Value
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",2020,"90,000","38,485","16,852",0,0,0,0,0,0,0,"12,518","2,688",General CIF Imports Value
999995,ESTIMATED IMPORTS OF LOW VALUED TRANSACTIONS,2020,"1,025",548,0,"1,538","2,511",167,979,"3,200","1,263",742,"4,502","4,841",General CIF Imports Value
