HTS Number,Description,Year,Country,January,February,March,April,May,June,July,August,September,October,November,December,Variable
030331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
030471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
030483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
030614,"CRABS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
030616,"COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON), FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
030617,"SHRIMPS AND PRAWNS, FROZEN, OTHER THAN COLD-WATER",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
030722,"SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE, FROZEN",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
070519,"LETTUCE (LACTUCA SATIVA), EXCEPT HEAD LETTUCE, FRESH OR CHILLED",2020,Greenland,0,0,0,0,0,0,0,0,0,0,"7,566",0,Dutiable Value
160521,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
220850,GIN AND GENEVA,2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
252910,FELDSPAR,2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
430180,"FURSKINS NESOI, RAW, WHOLE, WITH OR WITHOUT HEAD, TAIL OR PAWS",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
710391,"RUBIES, SAPPHIRES AND EMERALDS, OTHERWISE WORKED",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
710399,"SEMIPRECIOUS STONES, OTHERWISE WORKED",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
890399,"YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES, NESOI",2020,Greenland,0,0,0,"2,241",0,0,0,0,0,0,0,0,Dutiable Value
900311,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, OF PLASTICS",2020,Greenland,0,0,0,0,0,"3,146",0,0,0,0,0,0,Dutiable Value
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",2020,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,Dutiable Value
999995,ESTIMATED IMPORTS OF LOW VALUED TRANSACTIONS,2020,Greenland,"1,025",548,0,"1,538","2,511",167,979,"3,200","1,263",742,"4,502","4,841",Dutiable Value
