HTS Number,Description,Year,Country,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December,Variable
030331,"HALIBUT AND GREENLAND TURBOT (REINHARDTIUS HIPPOGLOSSOIDES, HIPPOGLOSSUS HIPPOGLOSSUS, HIPPOGLOSSUS STENOLEPIS) EXCEPT FILLETS, LIVERS OR ROES, FROZEN",2020,Greenland,kilograms,0,"20,684",0,0,"28,024",0,"14,476",0,"28,024",0,0,0,First Unit of Quantity
030471,"COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS) FILLETS, FROZEN",2020,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,0,"25,546",First Unit of Quantity
030483,"FLAT FISH (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE AND CITHARIDAE) FILLETS, FROZEN",2020,Greenland,kilograms,0,"3,737",0,0,0,0,209,"8,400",0,0,"3,555",0,First Unit of Quantity
030614,"CRABS, INCLUDING IN SHELL, COOKED BY STEAMING OR BY BOILING IN WATER, FROZEN",2020,Greenland,kilograms,"95,109","126,528","38,540","25,048","38,452","101,078","160,593","83,061","205,247","122,503","102,149","151,870",First Unit of Quantity
030616,"COLD-WATER SHRIMPS AND PRAWNS (PANDALUS SPP., CRANGON CRANGON), FROZEN",2020,Greenland,kilograms,0,0,0,0,"32,681","56,428","50,888","37,717","24,000",0,0,0,First Unit of Quantity
030617,"SHRIMPS AND PRAWNS, FROZEN, OTHER THAN COLD-WATER",2020,Greenland,kilograms,"18,630",0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
030722,"SCALLOPS AND OTHER MOLLUSCS OF THE FAMILY PECTINIDAE, FROZEN",2020,Greenland,kilograms,0,0,0,0,0,0,0,"2,004",0,0,0,0,First Unit of Quantity
070519,"LETTUCE (LACTUCA SATIVA), EXCEPT HEAD LETTUCE, FRESH OR CHILLED",2020,Greenland,kilograms,0,0,0,0,0,0,0,0,0,0,"11,651",0,First Unit of Quantity
160521,"SHRIMPS AND PRAWNS, PREPARED OR PRESERVED, NOT IN AIRTIGHT CONTAINERS",2020,Greenland,kilograms,0,0,0,0,0,0,"61,752","94,500",0,0,"2,830",500,First Unit of Quantity
220850,GIN AND GENEVA,2020,Greenland,proof liters,0,0,0,0,0,223,0,0,0,0,0,0,First Unit of Quantity
252910,FELDSPAR,2020,Greenland,metric tons,0,0,0,0,0,0,0,0,0,0,18,0,First Unit of Quantity
430180,"FURSKINS NESOI, RAW, WHOLE, WITH OR WITHOUT HEAD, TAIL OR PAWS",2020,Greenland,number,0,0,0,0,0,0,0,1,0,0,0,0,First Unit of Quantity
710391,"RUBIES, SAPPHIRES AND EMERALDS, OTHERWISE WORKED",2020,Greenland,carats,0,0,0,0,0,0,0,0,0,"1,732",0,72,First Unit of Quantity
710399,"SEMIPRECIOUS STONES, OTHERWISE WORKED",2020,Greenland,carats,"11,303",0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
890399,"YACHTS AND OTHER VESSELS FOR PLEASURE OR SPORTS; ROW BOATS AND CANOES, NESOI",2020,Greenland,number,0,0,0,1,0,0,0,0,0,0,0,0,First Unit of Quantity
900311,"FRAMES AND MOUNTINGS FOR SPECTACLES, GOGGLES OR THE LIKE, OF PLASTICS",2020,Greenland,dozens,0,0,0,0,0,1,0,0,0,0,0,0,First Unit of Quantity
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,grams,0,3,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
970500,"COLLECTIONS AND COLLECTORS' PIECES OF ZOOLOGICAL, BOTANICAL, MINERALOGICAL, HISTORICAL, ARCHAELOGICAL, NUMISMATIC OR OTHER INTEREST",2020,Greenland,kilograms,0,0,0,0,0,0,0,8,0,3,0,0,First Unit of Quantity
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",2020,Greenland,kilograms,0,176,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",2020,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
980100,"IMPORTS OF ARTICLES EXPORTED AND RETURNED, NOT ADVANCED IN VALUE OR CONDITION; IMPORTS OF ANIMALS EXPORTED AND RETURNED WITHIN 8 MONTHS",2020,Greenland,number,175,0,1,0,0,0,0,0,0,0,1,0,First Unit of Quantity
999995,ESTIMATED IMPORTS OF LOW VALUED TRANSACTIONS,2020,Greenland,no units collected,0,0,0,0,0,0,0,0,0,0,0,0,First Unit of Quantity
